Petroleum Planning & Analysis Cell,,,,,,,,,,,
                                                                                                            Petroleum Prices and Under-Recoveries                                                                                                            ,,,,,,,,,,,
Table posted on : 01.11.2021 Period : 2011-2022,,,,,,,,,,,
Month,Fortnight,Fortnightly Pricing Period,,"Average International FOB Price
& Exchange rate",,,Product-wise Under / (Over) recovery of Public Sector Oil Marketing Companies (OMCs),,,,
,16-01-21,29-12-2016,11-01-2017,54.24,68.06,"3,691.57",,,12.53,,
01-02-17,01-02-21,12-01-2017,27-01-2017,54.03,68.12,"3,680.52",29-12-2016,27-01-2017,13.33,184.29,32.41
,16-02-21,28-01-2017,13-02-2017,54.67,67.37,"3,683.12",,,,,
01-03-17,01-03-21,14-02-2017,24-02-2017,54.93,66.95,"3,677.56",28-01-2017,24-02-2017,13.5,270.16,32.41
,16-03-21,25-02-2017,13-03-2017,53.7,66.74,"3,583.94",,,,,
01-04-17,01-04-21,14-03-2017,29-03-2017,50.06,65.43,"3,275.43",25-02-2017,29-03-2017,11.05,249.09,33.01
,16-04-21,30-03-2017,11-04-2017,52.87,64.76,"3,423.86",,,10.8,,
01-05-17,01-05-21,12-04-2017,26-04-2017,52.37,64.45,"3,375.25",30-03-2017,26-04-2017,10.68,159.64,28.59
,16-05-21,27-04-2017,11-05-2017,49.23,64.26,"3,163.52",,,10.43,,
01-06-17,01-06-21,12-05-2017,29-05-2017,51.66,64.48,"3,331.04",27-04-2017,29-05-2017,8.86,77.26,28.59
,16-06-21,30-05-2017,13-06-2017,48.36,64.42,"3,115.35",,,8.61,,
Month,Effective Date,Monthly Pricing Period,,"Average International FOB Price
& Exchange rate",,,Product-wise Under / (Over) recovery of Public Sector Oil Marketing Companies (OMCs) & Cash Transfer to customer under DBTL,,,,
,,From,To,Crude Oil (Indian Basket),Exchange Rate,Crude Oil (Indian Basket),Monthly Pricing Period,,"PDS Kerosene
*>",Domestic LPG©,
,,,,,,,,,,Cash Transfer by Govt. to customer under DBTL*,Cash Transfer by OMCs towards Uncompensated Costs under DBTL*
,,,,($/bbl.),(Rs./US$),(Rs./bbl.),From,To,(Rs./Litre),(Rs./14.2 kg Cylinder),
01-07-17,01-07-21,30-05-2017,28-06-2017,46.89,64.44,"3,021.59",30-05-2017,28-06-2017,6.82,58.35,28.19
,16-07-21,,,,,,,,6.57,,
01-08-17,01-08-21,29-06-2017,27-07-2017,47.49,64.5,"3,063.11",29-06-2017,27-07-2017,7.02,29.02,15.21
,16-08-21,,,,,,,,6.77,,
01-09-17,01-09-21,28-07-2017,29-08-2017,50.64,63.98,"3,239.95",28-07-2017,29-08-2017,7.79,95.11,15.21
,16-09-21,,,,,,,,7.54,,
01-10-17,01-10-21,30-08-2017,27-09-2017,53.94,64.29,"3,467.80",30-08-2017,27-09-2017,9.58,142.66,15.21
Month,Effective Date,Monthly Pricing Period,,"Average International FOB Price
& Exchange rate",,,,,Product-wise Under / (Over) recovery of Public Sector Oil Marketing Companies (OMCs) & Cash Transfer to customer under DBTL,,
,,From,To,Crude Oil (Indian Basket),Exchange Rate,Crude Oil (Indian Basket),LPG Price (Saudi Aramco),Jet Kero (Arab Gulf),"PDS Kerosene
*>",Domestic LPG©,
,,,,,,,,,,Total Cash Transfer to customer under DBTL*,
,,,,($/bbl.),(Rs./US$),(Rs./bbl.),($/MT),($/bbl.),(Rs./Litre),(Rs./14.2 kg Cylinder),
01-11-17,01-11-21,28-09-2017,27-10-2017,55.8,65.16,"3,635.93",569.81,66.63,10.31,246.31,
01-12-17,01-12-21,28-10-2017,28-11-2017,61.08,64.9,"3,964.09",578,72.21,12.44,251.31,
01-01-18,01-01-21,29-11-2017,27-12-2017,61.95,64.28,"3,982.15",578,73.34,12.43,245.36,
,16-01-21,,,,,,,,12.18,,
01-02-18,01-02-21,28-12-2017,29-01-2018,66.89,63.67,"4,258.89",578,79.28,14.2,240.37,
,16-02-21,,,,,,,,13.95,,
01-03-18,01-03-21,30-01-2018,26-02-2018,63.76,64.23,"4,095.30",519.84,78.34,13.81,195.91,
,16-03-21,,,,,,,,13.56,,
01-04-18,01-04-21,27-02-2018,28-03-2018,63.76,65.02,"4,145.68",474.82,77.44,13.36,162.15,
,16-04-21,,,,,,,,13.11,,
01-05-18,01-05-21,29-03-2018,26-04-2018,68.81,65.57,"4,511.87",471.95,83.08,15.44,159.29,
,16-05-21,,,,,,,,15.19,,
01-06-18,01-06-21,27-04-2018,29-05-2018,74.89,67.5,"5,055.08",500.05,88.09,18.05,204.95,
,16-06-21,,,,,,,,17.8,,
01-07-18,01-07-21,30-05-2018,27-06-2018,73.73,67.68,"4,990.05",554.3,85.32,16.22,257.74,
,16-07-21,,,,,,,,15.97,,
01-08-18,01-08-21,28-06-2018,27-07-2018,73.64,68.7,"5,059.07",563.64,85.56,16.42,291.48,
,16-08-21,,,,,,,,16.17,,
01-09-18,01-09-21,28-07-2018,29-08-2018,72.3,69.33,"5,012.56",586.62,85.51,16.16,320.49,
,16-09-21,,,,,,,,15.91,,
01-10-18,01-10-21,30-08-2018,26-09-2018,77.38,72.02,"5,572.91",617.8,89.64,19.09,376.6,
,16-10-21,,,,,,,,18.84,,
01-11-18,01-11-21,27-09-2018,29-10-2018,80.54,73.52,"5,921.30",652.04,93.39,21.23,433.66,
,16-11-21,,,,,,,,20.98,435.08,
01-12-18,01-12-21,30-10-2018,28-11-2018,67.07,72.3,"4,849.16",542.81,82.8,15.28,308.6,
,16-10-21,,,,,,,,15.03,,
01-01-19,01-01-21,29-11-2018,27-12-2018,58.16,70.72,"4,113.08",437.95,69.13,8.03,194.01,
,16-01-21,,,,,,,,7.78,,
01-02-19,01-02-21,28-12-2018,29-01-2019,58.71,70.62,"4,146.10",424.14,68.72,7.33,165.47,
,16-02-21,,,,,,,,7.08,,
01-03-19,01-03-21,30-01-2019,26-02-2019,64.1,71.22,"4,565.20",454.22,75.22,10.26,205.89,
,16-03-21,,,,,,,,10.01,,
01-04-19,01-04-21,27-02-2019,27-03-2019,66.6,69.7,"4,642.02",503.24,77.85,10.16,210.64,
,16-03-21,,,,,,,,9.91,,
01-05-19,01-05-21,28-03-2019,25-04-2019,70.41,69.33,"4,881.53",525.1,80.42,10.48,216.36,
,16-05-21,,,,,,,,10.23,,
01-06-19,01-06-21,26-04-2019,29-05-2019,70.74,69.79,"4,936.94",527.86,80.05,9.8,240.13,
,16-06-21,,,,,,,,9.55,,
01-07-19,01-07-21,30-05-2019,26-06-2019,62.46,69.52,"4,342.22",432.26,72.54,5.79,142.65,
,16-07-21,,,,,,,,5.54,,
01-08-19,01-08-21,27-06-2019,29-07-2019,63.72,68.83,"4,385.85",368.04,76.52,6.71,50.71,
,16-08-21,,,,,,,,6.46,,
01-09-19,01-09-21,30-07-2019,28-08-2019,59.81,70.84,"4,236.94",363.9,73.12,5.73,58.62,
,16-09-21,,,,,,,,5.48,,
01-10-19,01-10-21,29-08-2019,26-09-2019,61.53,71.45,"4,396.32",356.76,75.48,6.77,66.05,
,16-10-21,,,,,,,,6.52,,
01-11-19,01-11-21,27-09-2019,29-10-2019,59.77,71.02,"4,244.87",422.36,72.74,4.91,134.9,
,16-11-21,,,,,,,,4.66,,
01-12-19,01-12-21,30-10-2019,27-11-2019,62.27,71.38,"4,444.83",438.05,72.32,4.44,143.76,
,16-12-21,,,,,,,,4.19,,
01-01-20,01-01-21,28-11-2019,29-12-2019,65.11,71.22,"4,637.13",448.05,74.54,5.08,157.86,
,16-01-21,,,,,,,,4.83,,
01-02-20,01-02-21,30-12-2019,29-01-2020,65.22,71.3,"4,650.19",567.52,73.94,4.64,153.86,
,16-02-21,,,,,,,,4.39,Eff 12.2.2020       =291.48,
01-03-20,01-03-21,30-01-2020,26-02-2020,55.4,71.44,"3,957.78",534.1,61.95,##,231,
01-04-20,01-04-21,27-02-2020,27-03-2020,35.93,74,"2,658.82",466.27,38.95,##,162.43,
01-05-20,01-05-21,28-03-2020,28-04-2020,20.2,76.23,"1,539.85",257.33,16.94,##,#,
01-06-20,01-06-21,29-04-2020,27-05-2020,28.83,75.63,"2,180.41",328.44,21.32,##,#,
01-07-20,01-07-21,28-05-2020,26-06-2020,39.96,75.74,"3,026.57",338.18,38.71,##,#,
01-08-20,01-08-21,27-06-2020,29-07-2020,43.19,75.06,"3,241.84",347.09,42.21,##,#,
01-09-20,01-09-21,30-07-2020,27-08-2020,44.11,74.8,"3,299.43",352.74,41.62,##,#,
01-10-20,01-10-21,28-08-2020,28-09-2020,41.53,73.45,"3,050.38",358.45,37.81,##,#,
01-11-20,01-11-21,29-09-2020,28-10-2020,40.98,73.47,"3,010.80",376.27,40.15,##,#,
01-12-20,01-12-21,29-09-2020,26-11-2020,41.68,73.83,"3,077.23",402.74,41.54,##,#,
01-01-21,01-01-21,27-11-2020,29-12-2020,49.48,73.64,"3,643.71",454.18,51.27,##,#,
01-02-21,01-02-21,30-12-2020,27-01-2021,54.41,73.13,"3,979.00",529.8,56.2,##,#,
01-03-21,01-03-21,28-01-2021,24-02-2021,60.12,72.78,"4,375.53",587.21,62.43,##,#,
01-04-21,01-04-21,25-02-2021,29-03-2021,64.87,72.74,"4,718.64",605.78,65.24,##,#,
01-05-21,01-05-21,30-03-2021,28-04-2021,63.18,74.38,"4,699.33",548.19,64.01,##,#,
01-06-21,01-06-21,29-04-2021,27-05-2021,66.76,73.43,"4,902.19",489.21,69.79,##,#,
01-07-21,01-07-21,28-05-2021,28-06-2021,71.63,73.4,"5,257.64",523,73.96,##,#,
01-08-21,01-08-21,29-06-2021,28-07-2021,73.46,74.52,"5,474.24",611.14,75.5,##,#,
01-09-21,01-09-21,29-07-2021,27-08-2021,70.17,74.29,"5,212.93",653.48,72.16,##,#,
01-10-21,01-10-21,28-08-2021,28-09-2021,72.73,73.48,"5,344.20",664.27,76.94,##,#,
01-11-21,01-11-21,29-09-2021,27-10-2021,81.54,74.85,"6,103.27",784.43,90.32,##,#,
Note,,,,,,,,,,,
"* Prices / under-recovery on PDS Kerosene & Domestic LPG is being computed on monthly basis. Additionally, a subsidy of Rs.0.82/Litre on PDS Kerosene & Rs.22.58/14.2 kgs Cylinder on Domestic LPG (Subsidized) is provided by the Government upto March 2015. Effective 1st August 2019 upto 30th April 2020 the cash transfer for PMUY customers is higher by Rs.21/Cylinder.",,,,,,,,,,,
** Price of Diesel had been deregulated w.e.f.19.10.2014.,,,,,,,,,,,
> Under Recovery for Kerosene is for Mumbai since 01.11.2014,,,,,,,,,,,
© Cash Subsidy under DBTL is for Delhi market.,,,,,,,,,,,
"# Since May, 2020, while there is nil subsidy to LPG consumers on Domestic LPG in some markets like Delhi, For consumers in far-flung and remote areas, Government continues to provide some subsidy due to higher inland freights from port to bottling plant.",,,,,,,,,,,
